MINISTERIO DE EDUCACION NACIONAL;;;;;;;;;;;;;;;;;;
PERSONAL ADMINISTRATIVO EN INSTITUCIONES DE EDUCACIÓN SUPERIOR - COLOMBIA 2015;;;;;;;;;;;;;;;;;;
Fecha de corte de la información: 16 de mayo de 2016;;;;;;;;;;;;;;;;;;
Fuente: Ministerio de Educación Nacional - Sistema Nacional de Información de la Educación Superior - SNIES;;;;;;;;;;;;;;;;;;
La información suministrada corresponde a lo reportado por las instituciones a través del SNIES;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
"Código de 
la Institución";IES PADRE;Institución de Educación Superior (IES);"Principal
 o
Seccional";Id Sector IES;Sector IES;Id Caracter IES;Caracter IES;"Código del 
departamento
(IES)";"Departamento de 
domicilio de la IES";"Código del 
Municipio
(IES)";"Municipio de
domicilio de la IES";Año;Semestre;Auxiliar;Servicios;Profesional;Directivo;Total
1125;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;SECCIONAL;1;OFICIAL;4;UNIVERSIDAD;91;AMAZONAS;91001;LETICIA;2015;1;4;3;3;4;14
1124;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;SECCIONAL;1;OFICIAL;4;UNIVERSIDAD;81;ARAUCA;81001;ARAUCA;2015;1;5;1;4;4;14
1104;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;SECCIONAL;1;OFICIAL;4;UNIVERSIDAD;76;VALLE DEL CAUCA;76520;PALMIRA;2015;1;108;39;36;20;203
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;OFICIAL;4;UNIVERSIDAD;11;BOGOTA D.C.;11001;BOGOTA D.C.;2015;1;1.010;297;496;149;1.952
1103;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;SECCIONAL;1;OFICIAL;4;UNIVERSIDAD;17;CALDAS;17001;MANIZALES;2015;1;116;29;40;23;208
1102;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;SECCIONAL;1;OFICIAL;4;UNIVERSIDAD;5;ANTIOQUIA;5001;MEDELLIN;2015;1;363;111;82;53;609
1126;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;SECCIONAL;1;OFICIAL;4;UNIVERSIDAD;88;SAN ANDRES Y PROVIDENCIA;88001;SAN ANDRES;2015;1;2;0;3;5;10
1106;1106;UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC;PRINCIPAL;1;OFICIAL;4;UNIVERSIDAD;15;BOYACA;15001;TUNJA;2015;1;167;139;116;14;436
1110;1110;UNIVERSIDAD DEL CAUCA;PRINCIPAL;1;OFICIAL;4;UNIVERSIDAD;19;CAUCA;19001;POPAYAN;2015;1;276;160;97;23;556
1110;1110;UNIVERSIDAD DEL CAUCA;PRINCIPAL;1;OFICIAL;4;UNIVERSIDAD;19;CAUCA;19001;POPAYAN;2015;2;277;160;97;23;557
1111;1111;UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;PRINCIPAL;1;OFICIAL;4;UNIVERSIDAD;66;RISARALDA;66001;PEREIRA;2015;1;240;20;100;33;393
1111;1111;UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;PRINCIPAL;1;OFICIAL;4;UNIVERSIDAD;66;RISARALDA;66001;PEREIRA;2015;2;240;20;100;27;387
1114;1114;UNIVERSIDAD SURCOLOMBIANA;PRINCIPAL;1;OFICIAL;4;UNIVERSIDAD;41;HUILA;41001;NEIVA;2015;1;133;47;45;20;245
1114;1114;UNIVERSIDAD SURCOLOMBIANA;PRINCIPAL;1;OFICIAL;4;UNIVERSIDAD;41;HUILA;41001;NEIVA;2015;2;135;48;41;20;244
1115;1115;UNIVERSIDAD DE LA AMAZONIA;PRINCIPAL;1;OFICIAL;4;UNIVERSIDAD;18;CAQUETA;18001;FLORENCIA;2015;2;163;237;125;35;560
1117;1117;UNIVERSIDAD MILITAR-NUEVA GRANADA;PRINCIPAL;1;OFICIAL;4;UNIVERSIDAD;11;BOGOTA D.C.;11001;BOGOTA D.C.;2015;1;21;324;105;29;479
1118;1118;UNIVERSIDAD TECNOLOGICA DEL CHOCO-DIEGO LUIS CORDOBA;PRINCIPAL;1;OFICIAL;4;UNIVERSIDAD;27;CHOCO;27001;QUIBDO;2015;1;78;83;73;28;262
1118;1118;UNIVERSIDAD TECNOLOGICA DEL CHOCO-DIEGO LUIS CORDOBA;PRINCIPAL;1;OFICIAL;4;UNIVERSIDAD;27;CHOCO;27001;QUIBDO;2015;2;78;83;73;28;262
1119;1119;UNIVERSIDAD DE LOS LLANOS;PRINCIPAL;1;OFICIAL;4;UNIVERSIDAD;50;META;50001;VILLAVICENCIO;2015;1;77;0;23;13;113
