MINISTERIO DE EDUCACION NACIONAL;;;;;;;;;;;;;;;;;;;
PERSONAL ADMINISTRATIVO EN INSTITUCIONES DE EDUCACIÓN SUPERIOR - COLOMBIA 2017;;;;;;;;;;;;;;;;;;;
Fecha de corte de la información: 6 de abril de 2018;;;;;;;;;;;;;;;;;;;
Fuente: Ministerio de Educación Nacional - Sistema Nacional de Información de la Educación Superior - SNIES;;;;;;;;;;;;;;;;;;;
La información suministrada corresponde a lo reportado por las instituciones a través del SNIES;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
"Código de 
la Institución";IES PADRE;Institución de Educación Superior (IES);"Principal
 o
Seccional";ID Sector IES;Sector IES;ID Caracter IES;Caracter IES;"Código del 
departamento
(IES)";"Departamento de 
domicilio de la IES";"Código del 
Municipio
(IES)";"Municipio de
domicilio de la IES";Año;Semestre;Auxiliar;Técnico;Profesional ;Directivo ;Total ;
1105;1105;UNIVERSIDAD PEDAGOGICA NACIONAL;PRINCIPAL;1;OFICIAL;4;Universidad;11;BOGOTA D.C;11001;BOGOTA D.C.;2017;2;141;22;52;36;251;
1108;1106;UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC;SECCIONAL;1;OFICIAL;4;Universidad;15;BOYACA;15759;SOGAMOSO;2017;1;19;15;7;0;41;
1110;1110;UNIVERSIDAD DEL CAUCA;PRINCIPAL;1;OFICIAL;4;Universidad;19;CAUCA;19001;POPAYAN;2017;1;285;159;96;24;564;
1201;1201;UNIVERSIDAD DE ANTIOQUIA;PRINCIPAL;1;OFICIAL;4;Universidad;5;ANTIOQUIA;5001;MEDELLIN;2017;1;46;2;35;4;87;
1201;1201;UNIVERSIDAD DE ANTIOQUIA;PRINCIPAL;1;OFICIAL;4;Universidad;5;ANTIOQUIA;5001;MEDELLIN;2017;1;20;4;53;6;83;
1206;1206;UNIVERSIDAD DE NARIÑO;PRINCIPAL;1;OFICIAL;4;Universidad;52;NARINIO;52001;PASTO;2017;2;339;37;84;69;529;
1702;1701;PONTIFICIA UNIVERSIDAD JAVERIANA;SECCIONAL;2;PRIVADA;4;Universidad;76;VALLE DEL CAUCA;76001;CALI;2017;2;33;265;317;77;692;
1701;1701;PONTIFICIA UNIVERSIDAD JAVERIANA;PRINCIPAL;2;PRIVADA;4;Universidad;11;BOGOTA D.C;11001;BOGOTA D.C.;2017;1;561;58;572;248;1439;
1722;1722;UNIVERSIDAD DE MANIZALES;PRINCIPAL;2;PRIVADA;4;Universidad;17;CALDAS;17001;MANIZALES;2017;1;30;144;150;10;334;
1729;1729;UNIVERSIDAD EL BOSQUE;PRINCIPAL;2;PRIVADA;4;Universidad;11;BOGOTA D.C;11001;BOGOTA D.C.;2017;1;128;287;150;0;565;
1806;1806;UNIVERSIDAD LIBRE;PRINCIPAL;2;PRIVADA;4;Universidad;11;BOGOTA D.C;11001;BOGOTA D.C.;2017;2;1;0;0;1;2;
1806;1806;UNIVERSIDAD LIBRE;PRINCIPAL;2;PRIVADA;4;Universidad;11;BOGOTA D.C;11001;BOGOTA D.C.;2017;2;5;0;0;1;6;
1806;1806;UNIVERSIDAD LIBRE;PRINCIPAL;2;PRIVADA;4;Universidad;11;BOGOTA D.C;11001;BOGOTA D.C.;2017;2;5;0;0;0;5;
1806;1806;UNIVERSIDAD LIBRE;PRINCIPAL;2;PRIVADA;4;Universidad;11;BOGOTA D.C;11001;BOGOTA D.C.;2017;2;6;0;6;1;13;
1806;1806;UNIVERSIDAD LIBRE;PRINCIPAL;2;PRIVADA;4;Universidad;11;BOGOTA D.C;11001;BOGOTA D.C.;2017;2;1;0;0;1;2;
1806;1806;UNIVERSIDAD LIBRE;PRINCIPAL;2;PRIVADA;4;Universidad;11;BOGOTA D.C;11001;BOGOTA D.C.;2017;2;1;0;2;1;4;
1806;1806;UNIVERSIDAD LIBRE;PRINCIPAL;2;PRIVADA;4;Universidad;11;BOGOTA D.C;11001;BOGOTA D.C.;2017;2;6;0;7;1;14;
1806;1806;UNIVERSIDAD LIBRE;PRINCIPAL;2;PRIVADA;4;Universidad;11;BOGOTA D.C;11001;BOGOTA D.C.;2017;2;2;0;0;1;3;
1806;1806;UNIVERSIDAD LIBRE;PRINCIPAL;2;PRIVADA;4;Universidad;11;BOGOTA D.C;11001;BOGOTA D.C.;2017;2;1;0;0;1;2;
1806;1806;UNIVERSIDAD LIBRE;PRINCIPAL;2;PRIVADA;4;Universidad;11;BOGOTA D.C;11001;BOGOTA D.C.;2017;2;1;0;0;1;2;
1806;1806;UNIVERSIDAD LIBRE;PRINCIPAL;2;PRIVADA;4;Universidad;11;BOGOTA D.C;11001;BOGOTA D.C.;2017;2;15;0;4;0;19;
1808;1806;UNIVERSIDAD LIBRE;SECCIONAL;2;PRIVADA;4;Universidad;8;ATLANTICO;8001;BARRANQUILLA;2017;2;0;0;1;0;1;
1808;1806;UNIVERSIDAD LIBRE;SECCIONAL;2;PRIVADA;4;Universidad;8;ATLANTICO;8001;BARRANQUILLA;2017;2;1;0;0;1;2;
1808;1806;UNIVERSIDAD LIBRE;SECCIONAL;2;PRIVADA;4;Universidad;8;ATLANTICO;8001;BARRANQUILLA;2017;2;3;1;1;0;5;
1807;1806;UNIVERSIDAD LIBRE;SECCIONAL;2;PRIVADA;4;Universidad;76;VALLE DEL CAUCA;76001;CALI;2017;2;1;0;2;1;4;
1807;1806;UNIVERSIDAD LIBRE;SECCIONAL;2;PRIVADA;4;Universidad;76;VALLE DEL CAUCA;76001;CALI;2017;2;1;0;0;0;1;
1807;1806;UNIVERSIDAD LIBRE;SECCIONAL;2;PRIVADA;4;Universidad;76;VALLE DEL CAUCA;76001;CALI;2017;2;4;0;1;0;5;
1807;1806;UNIVERSIDAD LIBRE;SECCIONAL;2;PRIVADA;4;Universidad;76;VALLE DEL CAUCA;76001;CALI;2017;2;2;3;1;1;7;
1807;1806;UNIVERSIDAD LIBRE;SECCIONAL;2;PRIVADA;4;Universidad;76;VALLE DEL CAUCA;76001;CALI;2017;2;2;0;1;0;3;
1810;1806;UNIVERSIDAD LIBRE;SECCIONAL;2;PRIVADA;4;Universidad;54;NORTE DE SANTANDER;54001;CUCUTA;2017;2;11;17;16;8;52;
1807;1806;UNIVERSIDAD LIBRE;SECCIONAL;2;PRIVADA;4;Universidad;76;VALLE DEL CAUCA;76001;CALI;2017;1;1;0;0;1;2;
1807;1806;UNIVERSIDAD LIBRE;SECCIONAL;2;PRIVADA;4;Universidad;76;VALLE DEL CAUCA;76001;CALI;2017;1;2;0;0;0;2;
1808;1806;UNIVERSIDAD LIBRE;SECCIONAL;2;PRIVADA;4;Universidad;8;ATLANTICO;8001;BARRANQUILLA;2017;1;0;0;2;0;2;
1808;1806;UNIVERSIDAD LIBRE;SECCIONAL;2;PRIVADA;4;Universidad;8;ATLANTICO;8001;BARRANQUILLA;2017;1;0;1;1;0;2;
1806;1806;UNIVERSIDAD LIBRE;PRINCIPAL;2;PRIVADA;4;Universidad;11;BOGOTA D.C;11001;BOGOTA D.C.;2017;1;1;0;0;1;2;
1806;1806;UNIVERSIDAD LIBRE;PRINCIPAL;2;PRIVADA;4;Universidad;11;BOGOTA D.C;11001;BOGOTA D.C.;2017;1;5;0;2;1;8;
1806;1806;UNIVERSIDAD LIBRE;PRINCIPAL;2;PRIVADA;4;Universidad;11;BOGOTA D.C;11001;BOGOTA D.C.;2017;1;3;0;0;1;4;
1806;1806;UNIVERSIDAD LIBRE;PRINCIPAL;2;PRIVADA;4;Universidad;11;BOGOTA D.C;11001;BOGOTA D.C.;2017;1;1;0;0;1;2;
1806;1806;UNIVERSIDAD LIBRE;PRINCIPAL;2;PRIVADA;4;Universidad;11;BOGOTA D.C;11001;BOGOTA D.C.;2017;1;5;0;0;1;6;
1806;1806;UNIVERSIDAD LIBRE;PRINCIPAL;2;PRIVADA;4;Universidad;11;BOGOTA D.C;11001;BOGOTA D.C.;2017;1;5;0;0;0;5;
1806;1806;UNIVERSIDAD LIBRE;PRINCIPAL;2;PRIVADA;4;Universidad;11;BOGOTA D.C;11001;BOGOTA D.C.;2017;1;1;0;0;0;1;
1806;1806;UNIVERSIDAD LIBRE;PRINCIPAL;2;PRIVADA;4;Universidad;11;BOGOTA D.C;11001;BOGOTA D.C.;2017;1;1;0;1;1;3;
1806;1806;UNIVERSIDAD LIBRE;PRINCIPAL;2;PRIVADA;4;Universidad;11;BOGOTA D.C;11001;BOGOTA D.C.;2017;1;0;0;4;1;5;
1823;1823;UNIVERSIDAD AUTONOMA DE BUCARAMANGA-UNAB-;PRINCIPAL;2;PRIVADA;4;Universidad;68;SANTANDER;68001;BUCARAMANGA;2017;1;162;68;113;68;411;
1825;1825;UNIVERSIDAD AUTONOMA DE MANIZALES;PRINCIPAL;2;PRIVADA;4;Universidad;17;CALDAS;17001;MANIZALES;2017;2;96;27;71;5;199;
1832;1832;UNIVERSIDAD TECNOLOGICA DE BOLIVAR;PRINCIPAL;2;PRIVADA;4;Universidad;13;BOLIVAR;13001;CARTAGENA;2017;1;90;30;60;30;210;
2702;2702;FUNDACION UNIVERSITARIA DE CIENCIAS DE LA SALUD;PRINCIPAL;2;PRIVADA;3;Institución Universitaria/Escuela Tecnológica;11;BOGOTA D.C;11001;BOGOTA D.C.;2017;2;90;10;57;55;212;
