;;;;;;;;;;;;;;;;;;
PERSONAL ADMINISTRATIVO EN INSTITUCIONES DE EDUCACIÓN SUPERIOR - COLOMBIA 2018;;;;;;;;;;;;;;;;;;
Fecha de corte de la información: Junio de 2019;;;;;;;;;;;;;;;;;;
Fuente: Ministerio de Educación Nacional - Sistema Nacional de Información de la Educación Superior - SNIES;;;;;;;;;;;;;;;;;;
La información suministrada corresponde a lo reportado por las Instituciones de Educación Superior a través del SNIES;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
"Código de 
la Institución";IES PADRE;Institución de Educación Superior (IES);"Principal
 o 
Seccional";ID Sector IES;Sector IES;ID Caracter IES;Caracter IES;"Código del 
departamento
(IES)";"Departamento de 
domicilio de la IES";"Código del 
Municipio
(IES)";"Municipio de
domicilio de la IES";Año;Semestre;Auxiliar;Tecnico;Profesional;Directivo;Total
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;OFICIAL;4;Universidad;11;BOGOTA D.C;11001;BOGOTA D.C.;2018;1;260;971;468;147;1846
1102;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;SECCIONAL;1;OFICIAL;4;Universidad;5;ANTIOQUIA;5001;MEDELLIN;2018;1;92;358;81;54;585
1103;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;SECCIONAL;1;OFICIAL;4;Universidad;17;CALDAS;17001;MANIZALES;2018;1;14;130;38;25;207
1104;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;SECCIONAL;1;OFICIAL;4;Universidad;76;VALLE DEL CAUCA;76520;PALMIRA;2018;1;34;99;35;21;189
1105;1105;UNIVERSIDAD PEDAGOGICA NACIONAL;PRINCIPAL;1;OFICIAL;4;Universidad;11;BOGOTA D.C;11001;BOGOTA D.C.;2018;1;138;23;56;36;253
1105;1105;UNIVERSIDAD PEDAGOGICA NACIONAL;PRINCIPAL;1;OFICIAL;4;Universidad;11;BOGOTA D.C;11001;BOGOTA D.C.;2018;2;135;25;56;36;252
1110;1110;UNIVERSIDAD DEL CAUCA;PRINCIPAL;1;OFICIAL;4;Universidad;19;CAUCA;19001;POPAYAN;2018;1;276;160;96;25;557
1110;1110;UNIVERSIDAD DEL CAUCA;PRINCIPAL;1;OFICIAL;4;Universidad;19;CAUCA;19001;POPAYAN;2018;2;276;160;96;25;557
1111;1111;UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;PRINCIPAL;1;OFICIAL;4;Universidad;66;RISARALDA;66001;PEREIRA;2018;1;175;78;102;13;368
1111;1111;UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;PRINCIPAL;1;OFICIAL;4;Universidad;66;RISARALDA;66001;PEREIRA;2018;2;175;78;102;13;368
1112;1112;UNIVERSIDAD DE CALDAS;PRINCIPAL;1;OFICIAL;4;Universidad;17;CALDAS;17001;MANIZALES;2018;1;263;83;92;24;462
1112;1112;UNIVERSIDAD DE CALDAS;PRINCIPAL;1;OFICIAL;4;Universidad;17;CALDAS;17001;MANIZALES;2018;2;263;83;92;24;462
1114;1114;UNIVERSIDAD SURCOLOMBIANA;PRINCIPAL;1;OFICIAL;4;Universidad;41;HUILA;41001;NEIVA;2018;1;73;15;39;28;155
1114;1114;UNIVERSIDAD SURCOLOMBIANA;PRINCIPAL;1;OFICIAL;4;Universidad;41;HUILA;41001;NEIVA;2018;2;117;13;39;31;200
1115;1115;UNIVERSIDAD DE LA AMAZONIA;PRINCIPAL;1;OFICIAL;4;Universidad;18;CAQUETA;18001;FLORENCIA;2018;1;270;103;155;15;543
1115;1115;UNIVERSIDAD DE LA AMAZONIA;PRINCIPAL;1;OFICIAL;4;Universidad;18;CAQUETA;18001;FLORENCIA;2018;2;193;111;209;24;537
1117;1117;UNIVERSIDAD MILITAR-NUEVA GRANADA;PRINCIPAL;1;OFICIAL;4;Universidad;11;BOGOTA D.C;11001;BOGOTA D.C.;2018;1;259;218;193;26;696
1117;1117;UNIVERSIDAD MILITAR-NUEVA GRANADA;PRINCIPAL;1;OFICIAL;4;Universidad;11;BOGOTA D.C;11001;BOGOTA D.C.;2018;2;248;230;197;23;698
1119;1119;UNIVERSIDAD DE LOS LLANOS;PRINCIPAL;1;OFICIAL;4;Universidad;50;META;50001;VILLAVICENCIO;2018;1;55;15;17;24;111
1119;1119;UNIVERSIDAD DE LOS LLANOS;PRINCIPAL;1;OFICIAL;4;Universidad;50;META;50001;VILLAVICENCIO;2018;2;55;15;17;24;111
1121;1121;UNIVERSIDAD-COLEGIO MAYOR DE CUNDINAMARCA;PRINCIPAL;1;OFICIAL;4;Universidad;11;BOGOTA D.C;11001;BOGOTA D.C.;2018;1;92;24;31;15;162
1121;1121;UNIVERSIDAD-COLEGIO MAYOR DE CUNDINAMARCA;PRINCIPAL;1;OFICIAL;4;Universidad;11;BOGOTA D.C;11001;BOGOTA D.C.;2018;2;92;24;31;15;162
1124;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;SECCIONAL;1;OFICIAL;4;Universidad;81;ARAUCA;81001;ARAUCA;2018;1;1;4;4;4;13
1125;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;SECCIONAL;1;OFICIAL;4;Universidad;91;AMAZONAS;91001;LETICIA;2018;1;3;4;3;3;13
1126;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;SECCIONAL;1;OFICIAL;4;Universidad;88;SAN ANDRES Y PROVIDENCIA;88001;SAN ANDRES;2018;1;0;1;3;4;8
1201;1201;UNIVERSIDAD DE ANTIOQUIA;PRINCIPAL;1;OFICIAL;4;Universidad;5;ANTIOQUIA;5001;MEDELLIN;2018;1;820;150;589;177;1736
1201;1201;UNIVERSIDAD DE ANTIOQUIA;PRINCIPAL;1;OFICIAL;4;Universidad;5;ANTIOQUIA;5001;MEDELLIN;2018;2;820;150;589;177;1736
1203;1203;UNIVERSIDAD DEL VALLE;PRINCIPAL;1;OFICIAL;4;Universidad;76;VALLE DEL CAUCA;76001;CALI;2018;1;468;502;343;6;1319
1203;1203;UNIVERSIDAD DEL VALLE;PRINCIPAL;1;OFICIAL;4;Universidad;76;VALLE DEL CAUCA;76001;CALI;2018;2;468;502;343;6;1319
