;;;;;;;;;;;;;;;;;;
PERSONAL ADMINISTRATIVO EN INSTITUCIONES DE EDUCACIÓN SUPERIOR - COLOMBIA 2021;;;;;;;;;;;;;;;;;;
Fecha de corte de la información: Mayo de 2022;;;;;;;;;;;;;;;;;;
Fuente: Ministerio de Educación Nacional - Sistema Nacional de Información de la Educación Superior - SNIES;;;;;;;;;;;;;;;;;;
La información suministrada corresponde a lo reportado por las Instituciones de Educación Superior a través del SNIES;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Código de la Institución;IES PADRE;Institución de Educación Superior (IES);Principal o Seccional;ID Sector IES;Sector IES;ID Carácter IES;Carácter IES;Código del departamento (IES);Departamento de domicilio de la IES;Código del Municipio (IES);Municipio de domicilio de la IES;Año;Semestre;Auxiliar;Técnico;Profesional;Directivo;Total
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Principal;1;OFICIAL;4;Universidad;11;Bogotá D.C.;11001;Bogotá, D.C.;2021;1;945;306;489;143;1883
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Principal;1;OFICIAL;4;Universidad;11;Bogotá D.C.;11001;Bogotá, D.C.;2021;2;995;306;447;107;1855
1102;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Seccional;1;OFICIAL;4;Universidad;5;Antioquia;5001;Medellín;2021;1;327;130;73;52;582
1102;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Seccional;1;OFICIAL;4;Universidad;5;Antioquia;5001;Medellín;2021;2;338;126;73;57;594
1103;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Seccional;1;OFICIAL;4;Universidad;17;Caldas;17001;Manizales;2021;1;93;49;37;21;200
1103;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Seccional;1;OFICIAL;4;Universidad;17;Caldas;17001;Manizales;2021;2;96;49;36;21;202
1104;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Seccional;1;OFICIAL;4;Universidad;76;Valle del Cauca;76520;Palmira;2021;1;92;56;30;21;199
1104;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Seccional;1;OFICIAL;4;Universidad;76;Valle del Cauca;76520;Palmira;2021;2;92;58;32;18;200
1105;1105;UNIVERSIDAD PEDAGOGICA NACIONAL;Principal;1;OFICIAL;4;Universidad;11;Bogotá D.C.;11001;Bogotá, D.C.;2021;1;126;23;55;37;241
1105;1105;UNIVERSIDAD PEDAGOGICA NACIONAL;Principal;1;OFICIAL;4;Universidad;11;Bogotá D.C.;11001;Bogotá, D.C.;2021;2;124;23;56;37;240
1106;1106;UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC;Principal;1;OFICIAL;4;Universidad;15;Boyacá;15001;Tunja;2021;1;51;250;106;422;829
1106;1106;UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC;Principal;1;OFICIAL;4;Universidad;15;Boyacá;15001;Tunja;2021;2;51;250;106;422;829
1107;1106;UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC;Seccional;1;OFICIAL;4;Universidad;15;Boyacá;15238;Duitama;2021;1;3;28;11;59;101
1107;1106;UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC;Seccional;1;OFICIAL;4;Universidad;15;Boyacá;15238;Duitama;2021;2;3;28;11;59;101
1108;1106;UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC;Seccional;1;OFICIAL;4;Universidad;15;Boyacá;15759;Sogamoso;2021;1;3;24;14;54;95
1108;1106;UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC;Seccional;1;OFICIAL;4;Universidad;15;Boyacá;15759;Sogamoso;2021;2;3;24;14;54;95
1109;1106;UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC;Seccional;1;OFICIAL;4;Universidad;15;Boyacá;15176;Chiquinquirá;2021;1;3;15;4;22;44
1109;1106;UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC;Seccional;1;OFICIAL;4;Universidad;15;Boyacá;15176;Chiquinquirá;2021;2;3;15;4;22;44
1110;1110;UNIVERSIDAD DEL CAUCA;Principal;1;OFICIAL;4;Universidad;19;Cauca;19001;Popayán;2021;1;146;161;111;222;640
1110;1110;UNIVERSIDAD DEL CAUCA;Principal;1;OFICIAL;4;Universidad;19;Cauca;19001;Popayán;2021;2;146;161;111;222;640
1111;1111;UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;Principal;1;OFICIAL;4;Universidad;66;Risaralda;66001;Pereira;2021;1;197;82;102;15;396
1111;1111;UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;Principal;1;OFICIAL;4;Universidad;66;Risaralda;66001;Pereira;2021;2;194;80;106;15;395
1112;1112;UNIVERSIDAD DE CALDAS;Principal;1;OFICIAL;4;Universidad;17;Caldas;17001;Manizales;2021;1;263;83;92;24;462
1113;1113;UNIVERSIDAD DE CORDOBA;Principal;1;OFICIAL;4;Universidad;23;Córdoba;23001;Montería;2021;1;84;95;165;68;412
1113;1113;UNIVERSIDAD DE CORDOBA;Principal;1;OFICIAL;4;Universidad;23;Córdoba;23001;Montería;2021;2;84;95;165;68;412
1114;1114;UNIVERSIDAD SURCOLOMBIANA;Principal;1;OFICIAL;4;Universidad;41;Huila;41001;Neiva;2021;1;117;13;43;27;200
1114;1114;UNIVERSIDAD SURCOLOMBIANA;Principal;1;OFICIAL;4;Universidad;41;Huila;41001;Neiva;2021;2;117;13;43;27;200
1115;1115;UNIVERSIDAD DE LA AMAZONIA;Principal;1;OFICIAL;4;Universidad;18;Caquetá;18001;Florencia;2021;1;226;29;173;9;437
1115;1115;UNIVERSIDAD DE LA AMAZONIA;Principal;1;OFICIAL;4;Universidad;18;Caquetá;18001;Florencia;2021;2;233;25;173;11;442
