"codigo.de..la.institucion","ies.padre","institucion.de.educacion.superior..ies.","principal..o.seccional","id.sector.ies","sector.ies","id.caracter.ies","caracter.ies","codigo.del..departamento..ies.","departamento.de..domicilio.de.la.ies","codigo.del..municipio..ies.","municipio.de.domicilio.de.la.ies","ano","semestre","auxiliar","servicios.tecnicos","profesional","directivo","total"
2206,2206,"instituto departamental de bellas artes","principal",1,"oficial",3,"institucion universitaria/escuela tecnologica",76,"valle del cauca",76001,"cali",2014,1,7,30,54,6,97
9101,9101,"escuela de investigacion criminal","principal",1,"oficial",3,"institucion tecnica profesional",11,"bogota d.c.",11001,"bogota d.c.",2014,1,0,0,0,0,0
3204,3204,"tecnologico de antioquia","principal",1,"oficial",3,"institucion universitaria/escuela tecnologica",5,"antioquia",5001,"medellin",2014,1,41,2,14,12,69
3107,3107,"institucion universitaria pascual bravo","principal",1,"oficial",3,"institucion universitaria/escuela tecnologica",5,"antioquia",5001,"medellin",2014,1,68,15,22,12,117
2906,2906,"escuela de postgrados de la fuerza aerea colombiana capitan jose edmundo sandoval - epfac","principal",1,"oficial",3,"institucion universitaria/escuela tecnologica",11,"bogota d.c.",11001,"bogota d.c.",2014,1,31,2,29,13,75
1121,1121,"universidad-colegio mayor de cundinamarca","principal",1,"oficial",3,"universidad",11,"bogota d.c.",11001,"bogota d.c.",2014,1,78,34,29,13,154
1106,1106,"universidad pedagogica y tecnologica de colombia - uptc","principal",1,"oficial",3,"universidad",15,"boyaca",15001,"tunja",2014,1,176,145,114,14,449
2903,2903,"escuela de comunicaciones","principal",1,"oficial",3,"institucion universitaria/escuela tecnologica",25,"cundinamarca",25269,"facatativa",2014,1,0,0,0,0,0
2208,2208,"conservatorio del tolima","principal",1,"oficial",3,"institucion universitaria/escuela tecnologica",73,"tolima",73001,"ibague",2014,1,6,6,3,4,19
1120,1120,"universidad popular del cesar","principal",1,"oficial",3,"universidad",20,"cesar",20001,"valledupar",2014,1,101,33,54,36,224
1217,1217,"universidad de sucre","principal",1,"oficial",3,"universidad",70,"sucre",70001,"sincelejo",2014,1,0,0,0,0,0
4106,4106,"instituto nacional de formacion tecnica profesional de san andres","principal",1,"oficial",3,"institucion tecnica profesional",88,"san andres y providencia",88001,"san andres",2014,1,0,0,0,0,0
4108,4108,"escuela tecnologica instituto tecnico central","principal",1,"oficial",3,"institucion universitaria/escuela tecnologica",11,"bogota d.c.",11001,"bogota d.c.",2014,1,25,25,28,15,93
1122,1122,"universidad del pacifico","principal",1,"oficial",3,"universidad",76,"valle del cauca",76109,"buenaventura",2014,1,0,0,0,0,0
1215,1214,"universidad de cundinamarca-udec","seccional",1,"oficial",3,"universidad",25,"cundinamarca",25307,"girardot",2014,1,37,5,7,1,50
3201,3201,"unidades tecnologicas de santander","principal",1,"oficial",3,"institucion tecnologica",68,"santander",68001,"bucaramanga",2014,1,23,4,27,11,65
1115,1115,"universidad de la amazonia","principal",1,"oficial",3,"universidad",18,"caqueta",18001,"florencia",2014,1,172,139,89,33,433
3116,3115,"instituto tecnologico del putumayo","seccional",1,"oficial",3,"institucion tecnologica",86,"putumayo",86749,"sibundoy",2014,1,2,0,0,0,2
1125,1101,"universidad nacional de colombia","seccional",1,"oficial",3,"universidad",91,"amazonas",91001,"leticia",2014,1,4,3,3,4,14
1124,1101,"universidad nacional de colombia","seccional",1,"oficial",3,"universidad",81,"arauca",81001,"arauca",2014,1,5,1,4,4,14
1118,1118,"universidad tecnologica del choco-diego luis cordoba","principal",1,"oficial",3,"universidad",27,"choco",27001,"quibdo",2014,1,122,48,58,26,254
2114,2114,"escuela nacional del deporte","principal",1,"oficial",3,"institucion universitaria/escuela tecnologica",76,"valle del cauca",76001,"cali",2014,1,12,0,9,14,35
4109,4109,"instituto tecnico nacional de comercio simon rodriguez - intenalco","principal",1,"oficial",3,"institucion tecnica profesional",76,"valle del cauca",76001,"cali",2014,1,12,3,17,8,40
1104,1101,"universidad nacional de colombia","seccional",1,"oficial",3,"universidad",76,"valle del cauca",76520,"palmira",2014,1,108,38,36,20,202
1213,1213,"universidad del magdalena - unimagdalena","principal",1,"oficial",3,"universidad",47,"magdalena",47001,"santa marta",2014,1,1,105,80,55,241
3901,3901,"escuela de formacion de infanteria de marina","principal",1,"oficial",3,"institucion tecnologica",70,"sucre",70820,"santiago de tolu",2014,1,0,0,0,0,0
2209,2209,"politecnico colombiano jaime isaza cadavid","principal",1,"oficial",3,"institucion universitaria/escuela tecnologica",5,"antioquia",5001,"medellin",2014,1,185,28,91,26,330
1101,1101,"universidad nacional de colombia","principal",1,"oficial",3,"universidad",11,"bogota d.c.",11001,"bogota d.c.",2014,1,1011,299,492,150,1952
9107,9107,"escuela de ingenieros militares","principal",1,"oficial",3,"institucion universitaria/escuela tecnologica",11,"bogota d.c.",11001,"bogota d.c.",2014,1,12,4,17,7,40
1103,1101,"universidad nacional de colombia","seccional",1,"oficial",3,"universidad",17,"caldas",17001,"manizales",2014,1,115,30,39,23,207
1214,1214,"universidad de cundinamarca-udec","principal",1,"oficial",3,"universidad",25,"cundinamarca",25290,"fusagasuga",2014,1,159,75,72,21,327
1208,1208,"universidad del quindio","principal",1,"oficial",3,"universidad",63,"quindio",63001,"armenia",2014,1,0,0,0,0,0
9114,9110,"servicio nacional de aprendizaje-sena-","seccional",1,"oficial",3,"institucion tecnologica",63,"quindio",63001,"armenia",2014,1,0,0,0,0,0
4101,4101,"instituto de educacion tecnica profesional de roldanillo","principal",1,"oficial",3,"institucion tecnica profesional",76,"valle del cauca",76622,"roldanillo",2014,1,36,17,6,2,61
3114,3114,"escuela naval de suboficiales arc barranquilla","principal",1,"oficial",3,"institucion tecnologica",8,"atlantico",8001,"barranquilla",2014,1,0,0,0,0,0
9105,9105,"escuela naval de cadetes almirante padilla","principal",1,"oficial",3,"universidad",13,"bolivar",13001,"cartagena",2014,1,0,0,0,0,0
