"codigo.del..municipio..ies.","codigo.del..departamento..ies.","id.caracter.ies","ies.padre","codigo.de..la.institucion","institucion.de.educacion.superior..ies.","principal..o.seccional","id.sector.ies","sector.ies","caracter.ies","departamento.de..domicilio.de.la.ies","municipio.de.domicilio.de.la.ies","ano","semestre","auxiliar","servicios.tecnicos","profesional","directivo","total"
5001,5,4,1812,1812,"universidad de medellin","principal",2,"privada","universidad","antioquia","medellin",2016,2,182,23,89,36,330
5001,5,3,2749,2749,"institucion universitaria  salazar y herrera","principal",2,"privada","institucion universitaria/escuela tecnologica","antioquia","medellin",2018,1,28,9,42,7,86
5001,5,2,4801,4801,"corporacion academia superior de artes","principal",2,"privada","institucion tecnologica","antioquia","medellin",2017,2,0,2,1,1,4
5001,5,4,1201,1201,"universidad de antioquia","principal",1,"oficial","universidad","antioquia","medellin",2019,2,9,3,24,5,41
5001,5,3,3107,3107,"institucion universitaria pascual bravo","principal",1,"oficial","institucion universitaria/escuela tecnologica","antioquia","medellin",2020,2,58,7,21,13,99
5001,5,3,1718,1717,"universidad de san buenaventura","seccional",2,"privada","institucion universitaria/escuela tecnologica","antioquia","medellin",2014,2,103,35,70,25,233
5001,5,4,1201,1201,"universidad de antioquia","principal",1,"oficial","universidad","antioquia","medellin",2019,2,13,1,7,7,28
5001,5,2,4801,4801,"corporacion academia superior de artes","principal",2,"privada","institucion tecnologica","antioquia","medellin",2019,2,0,0,1,1,2
5001,5,3,9120,9120,"fundacion universitaria bellas artes","principal",2,"privada","institucion universitaria/escuela tecnologica","antioquia","medellin",2020,1,10,2,5,22,39
5001,5,4,1710,1710,"universidad pontificia bolivariana","principal",2,"privada","universidad","antioquia","medellin",2017,2,256,417,673,90,1436
5001,5,4,1710,1710,"universidad pontificia bolivariana","principal",2,"privada","universidad","antioquia","medellin",2018,1,260,386,717,114,1477
5001,5,4,1712,1712,"universidad eafit-","principal",2,"privada","universidad","antioquia","medellin",2019,2,355,46,1407,346,2154
5001,5,3,3703,3703,"fundacion escuela colombiana de mercadotecnia -escolme-","principal",2,"privada","institucion universitaria/escuela tecnologica","antioquia","medellin",2017,2,6,26,20,12,64
5001,5,4,1818,1816,"universidad cooperativa de colombia","seccional",2,"privada","universidad","antioquia","medellin",2019,1,127,142,263,58,590
5001,5,4,1812,1812,"universidad de medellin","principal",2,"privada","universidad","antioquia","medellin",2021,2,181,13,136,44,374
5001,5,3,2104,2111,"escuela superior de administracion publica-esap-","seccional",1,"oficial","institucion universitaria/escuela tecnologica","antioquia","medellin",2014,1,0,0,0,0,0
5001,5,3,2721,2721,"fundacion universitaria maria cano","principal",2,"privada","institucion universitaria/escuela tecnologica","antioquia","medellin",2020,2,19,30,43,32,124
5001,5,2,4801,4801,"corporacion academia superior de artes","principal",2,"privada","institucion tecnologica","antioquia","medellin",2020,2,6,4,10,9,29
5001,5,3,3720,3720,"fundacion universitaria esumer","principal",2,"privada","institucion universitaria/escuela tecnologica","antioquia","medellin",2020,2,16,132,33,12,193
5001,5,3,2721,2721,"fundacion universitaria maria cano","principal",2,"privada","institucion universitaria/escuela tecnologica","antioquia","medellin",2020,1,24,31,56,36,147
5001,5,3,3107,3107,"institucion universitaria pascual bravo","principal",1,"oficial","institucion universitaria/escuela tecnologica","antioquia","medellin",2019,1,1,0,0,0,1
5001,5,3,3107,3107,"institucion universitaria pascual bravo","principal",1,"oficial","institucion universitaria/escuela tecnologica","antioquia","medellin",2019,1,6,1,1,1,9
5001,5,3,9927,9927,"institucion universitaria digital de antioquia -iu. digital","principal",1,"oficial","institucion universitaria/escuela tecnologica","antioquia","medellin",2021,2,3,1,22,15,41
5001,5,3,9900,9900,"corporacion universitaria u de colombia","principal",2,"privada","institucion universitaria/escuela tecnologica","antioquia","medellin",2015,1,2,1,8,3,14
5001,5,3,1201,1201,"universidad de antioquia","principal",1,"oficial","institucion universitaria/escuela tecnologica","antioquia","medellin",2014,2,640,144,464,166,1414
5001,5,4,1201,1201,"universidad de antioquia","principal",1,"oficial","universidad","antioquia","medellin",2017,1,13,0,17,4,34
5001,5,3,3720,3720,"fundacion universitaria esumer","principal",2,"privada","institucion universitaria/escuela tecnologica","antioquia","medellin",2021,1,19,133,30,10,192
5001,5,3,3820,3820,"corporacion academia tecnologica de colombia -atec-","principal",2,"privada","institucion universitaria/escuela tecnologica","antioquia","medellin",2014,1,0,0,0,0,0
5001,5,3,2749,2749,"institucion universitaria  salazar y herrera","principal",2,"privada","institucion universitaria/escuela tecnologica","antioquia","medellin",2021,2,17,8,42,7,74
5001,5,3,3107,3107,"institucion universitaria pascual bravo","principal",1,"oficial","institucion universitaria/escuela tecnologica","antioquia","medellin",2019,1,1,1,0,1,3
5001,5,4,1201,1201,"universidad de antioquia","principal",1,"oficial","universidad","antioquia","medellin",2019,1,22,4,52,6,84
5001,5,2,3807,3807,"escuela de tecnologias de antioquia -eta-","principal",2,"privada","institucion tecnologica","antioquia","medellin",2019,2,0,0,0,1,1
5001,5,2,3807,3807,"escuela de tecnologias de antioquia -eta-","principal",2,"privada","institucion tecnologica","antioquia","medellin",2015,1,2,4,3,3,12
5001,5,4,1712,1712,"universidad eafit-","principal",2,"privada","universidad","antioquia","medellin",2018,1,588,112,643,35,1378
5001,5,3,2721,2721,"fundacion universitaria maria cano","principal",2,"privada","institucion universitaria/escuela tecnologica","antioquia","medellin",2016,2,18,29,65,9,121
5001,5,3,3107,3107,"institucion universitaria pascual bravo","principal",1,"oficial","institucion universitaria/escuela tecnologica","antioquia","medellin",2017,1,0,1,0,0,1
5001,5,3,2721,2721,"fundacion universitaria maria cano","principal",2,"privada","institucion universitaria/escuela tecnologica","antioquia","medellin",2017,2,19,30,43,32,124
5001,5,4,1201,1201,"universidad de antioquia","principal",1,"oficial","universidad","antioquia","medellin",2017,1,2,0,0,2,4
5001,5,3,2749,2749,"institucion universitaria  salazar y herrera","principal",2,"privada","institucion universitaria/escuela tecnologica","antioquia","medellin",2015,2,41,27,25,6,99
5001,5,4,1201,1201,"universidad de antioquia","principal",1,"oficial","universidad","antioquia","medellin",2017,1,2,0,5,1,8
5001,5,3,9120,9120,"fundacion universitaria bellas artes","principal",2,"privada","institucion universitaria/escuela tecnologica","antioquia","medellin",2016,2,7,2,14,8,31
5001,5,3,2838,2838,"corporacion colegiatura colombiana","principal",2,"privada","institucion universitaria/escuela tecnologica","antioquia","medellin",2018,1,16,26,58,6,106
5001,5,3,2736,2736,"fundacion universitaria seminario biblico de colombia","principal",2,"privada","institucion universitaria/escuela tecnologica","antioquia","medellin",2020,2,7,8,14,4,33
5001,5,3,2721,2721,"fundacion universitaria maria cano","principal",2,"privada","institucion universitaria/escuela tecnologica","antioquia","medellin",2017,1,47,26,49,25,147
5001,5,3,3107,3107,"institucion universitaria pascual bravo","principal",1,"oficial","institucion universitaria/escuela tecnologica","antioquia","medellin",2019,1,5,5,7,1,18
5001,5,3,2209,2209,"politecnico colombiano jaime isaza cadavid","principal",1,"oficial","institucion universitaria/escuela tecnologica","antioquia","medellin",2020,1,146,24,90,24,284
5001,5,4,1201,1201,"universidad de antioquia","principal",1,"oficial","universidad","antioquia","medellin",2017,1,162,19,29,5,215
